actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
80,2.8067565,12000,0.9850662,0.004272461,5.648243,-0.011145949,19,2850,1,0,-3.4612243,-3.455813,8.51395,0.0
85,5.354648,12750,0.99609375,0.005554199,5.542102,-9.579149,20,3000,1,0,-5.4312806,-5.420569,0.08520596,0.0
102,4.976058,15300,0.996012,0.020507812,4.83627,-12.235678,24,3600,3,10.272367238998413,-6.5987864,-4.937375,1.173763,30.354134854066103
105,7.5511637,15750,0.9677131,0.32281494,2.772142,-17.713886,34,5100,9,20.489272356033325,-19.686863,-2.575286,20.082233,42.163052076114674
106,9.542866,15900,0.97234607,0.38110352,2.4799418,-19.614565,50,7500,16,31.42348003387451,-26.288544,-2.2264962,25.676022,45.05977537882393
109,17.778284,16350,0.9903393,0.4309082,2.0102599,-20.24593,63,9450,23,42.00632119178772,-45.215378,-1.941155,7.221896,44.942841227902605
113,26.876991,16950,0.99415946,0.4569702,1.7042224,-22.143902,75,11250,30,52.758816719055176,-74.96773,-1.6659462,4.4740243,40.50104460486145
116,35.80282,17400,0.99331737,0.4678955,1.6351129,-22.506052,90,13500,38,64.55386924743652,-98.10634,-1.6285777,6.23731,31.819780636095818
118,40.802402,17700,0.9933548,0.4906006,1.5611432,-24.105328,104,15600,45,74.83108830451965,-120.86856,-1.5710301,7.3660135,45.70898934835151
121,40.427013,18150,0.9941337,0.50042725,1.4653434,-25.535172,118,17700,52,85.44301390647888,-134.53265,-1.4909239,5.1056747,46.45365345894699
125,37.46933,18750,0.99384236,0.5184326,1.3791658,-26.83589,131,19650,59,96.19006395339966,-140.49307,-1.4121195,6.064513,42.96129656839955
129,43.392685,19350,0.9950912,0.52752686,1.3071507,-28.925325,145,21750,66,106.87853956222534,-152.32062,-1.3372613,3.9166608,31.40334230620298
129,39.592323,19350,0.99414706,0.54016113,1.2761829,-29.860048,160,24000,73,117.05841302871704,-159.1677,-1.2711082,6.0411954,44.72191292540807
134,40.15448,20100,0.9942813,0.5587158,1.2078302,-30.946112,171,25650,80,128.37843704223633,-167.5793,-1.1896095,5.3843913,45.93940188432775
137,37.00205,20550,0.9954021,0.5683594,1.1234028,-32.978172,183,27450,87,139.14762544631958,-171.502,-1.0974598,2.9767256,43.55375306207018
140,47.799477,21000,0.99541306,0.57592773,1.0924187,-31.843071,199,29850,94,149.96166038513184,-191.11873,-1.0843536,3.0603957,30.411970673318653
141,48.195427,21150,0.9953499,0.572876,1.0851612,-31.174728,212,31800,101,160.3740930557251,-190.92374,-1.05848,3.4840477,44.329248832423715
146,50.437954,21900,0.9954448,0.583313,1.0375061,-31.260838,223,33450,108,171.18758726119995,-195.3175,-1.0133502,3.1867998,45.394589219701764
150,52.000008,22500,0.99507856,0.5757446,1.042424,-31.522114,236,35400,115,181.92471742630005,-199.55994,-0.98577154,4.163737,44.623036841558445
153,50.806362,22950,0.9958601,0.6045532,0.9679057,-31.878101,252,37800,122,192.60621166229248,-201.28134,-0.9451811,2.3642502,28.147200059055177
154,54.03481,23100,0.9955363,0.5831909,0.98236626,-31.72728,266,39900,129,202.87801957130432,-202.9524,-0.9600931,3.0208948,45.08504496152154
158,53.412033,23700,0.99551344,0.59295654,0.950695,-32.319473,277,41550,136,213.70557951927185,-205.8707,-0.91522276,3.0245996,43.807179218034165
161,50.973614,24150,0.9953408,0.60076904,0.94200426,-32.60566,290,43500,143,224.7710428237915,-198.98352,-0.924983,4.0044856,43.212035698987115
164,52.192375,24600,0.9955728,0.59936523,0.9523001,-33.0098,306,45900,150,235.61323237419128,-195.9018,-0.92169756,2.881721,29.92499405815384
165,52.67476,24750,0.99568844,0.59198,0.9560237,-33.069,319,47850,157,245.90289068222046,-197.7422,-0.94107306,2.617208,43.59014823889183
169,55.244606,25350,0.99529576,0.5819092,0.9762019,-33.81757,332,49800,164,257.0990400314331,-203.94316,-0.9450638,4.3357925,43.52174364895887
174,59.4291,26100,0.99554086,0.5741577,0.97081316,-33.67301,343,51450,171,268.08088779449463,-211.01202,-0.96398365,2.876206,43.51698826995969
175,59.120804,26250,0.99535656,0.5808716,0.955186,-32.937206,359,53850,178,278.62358045578003,-208.53802,-0.91121227,3.6817799,32.3314699023415
178,59.909885,26700,0.9955344,0.58514404,0.94796497,-33.311028,370,55500,185,288.908495426178,-211.30688,-0.9376014,3.0894964,44.994405942768104
