actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
4,600,0.085722685,150,0.0,1,150,0.58310294,0.6688256,0.51020074,16.96737273976914,0.0,nan
8,1200,0.08410227,150,0.0,2,300,0.5708402,0.65494245,0.26434183,45.85381731416975,0.0,0.0
11,1650,0.36172357,150,0.0,3,450,0.34489968,0.70662326,0.34204146,47.83472146106501,0.0,0.0
16,2400,0.35250574,150,0.0,4,600,0.29647708,0.6489828,0.24041449,45.225955962557265,0.0,0.0
19,2850,-0.03350836,150,0.0,5,750,0.7184421,0.6849337,0.48088667,48.62240326419627,0.0,0.0
23,3450,0.17491946,150,0.0,6,900,0.47064754,0.645567,0.34701994,47.15957783880869,0.0,0.0
27,4050,0.18752605,150,0.0,7,1050,0.5735757,0.7611017,0.5735757,46.42978198181245,0.0,0.0
31,4650,0.11863744,150,0.0,8,1200,0.56323534,0.6818728,0.40769947,46.75585728688239,0.0,0.0
35,5250,0.067892075,150,0.0,9,1350,0.61911196,0.687004,0.34463915,48.03416614768943,0.0,0.0
39,5850,0.118540406,150,0.0,10,1500,0.6073052,0.72584563,0.42133287,46.65182656358677,0.0,0.0
43,6450,0.027790725,150,0.0,11,1650,0.6996108,0.72740155,0.42887464,47.268966847855,0.0,0.0
47,7050,0.38892943,150,0.0,12,1800,0.29062527,0.6795547,0.29019606,44.50516685150782,0.0,0.0
51,7650,0.27153677,150,0.0,13,1950,0.43062162,0.7021584,0.3526556,45.88374058917279,0.0,0.0
55,8250,0.36095896,150,0.0,14,2100,0.34464362,0.7056026,0.34304917,44.840520862124286,0.0,0.0
60,9000,0.1098156,150,0.0,15,2250,0.60737026,0.71718585,0.38286144,46.811888331046106,0.0,0.0
64,9600,0.24750629,150,0.0,16,2400,0.39141163,0.6389179,0.32368755,45.62265295316196,0.0,0.0
68,10200,0.0781768,150,0.0,17,2550,0.5992119,0.67738867,0.42181376,46.127401084938136,0.0,0.0
72,10800,0.008356392,150,0.0,18,2700,0.6998006,0.708157,0.39807177,45.45674978389559,0.0,0.0
76,11400,0.2923619,150,0.0,19,2850,0.44061938,0.73298126,0.44061938,30.40192285110806,0.0,0.0
79,11850,0.37687087,150,0.0,20,3000,0.30053735,0.6774082,0.30053735,59.771482566394404,0.0,0.0
81,12150,-0.05362445,150,0.0,21,3150,0.7630283,0.7094039,0.53232545,70.0591812968127,0.0,0.0
87,13050,0.2600174,150,0.0,23,3450,0.49669254,0.75670993,0.47843963,159.35042623339461,0.0,0.0
90,13500,-0.03887111,150,0.0,24,3600,0.7587214,0.7198503,0.39241618,142.53531350398723,0.0,0.0
97,14550,0.0026307106,150,0.0,26,3900,0.7172379,0.7198686,0.5862687,165.102258359615,0.0,0.0
104,15600,0.12298304,150,0.0,28,4200,0.5821814,0.70516443,0.4071201,154.89326040345156,0.0,0.0
107,16050,0.07207918,150,0.0,30,4500,0.5901776,0.6622568,0.32232052,194.09082397321487,0.0,0.0
107,16050,0.1442728,150,0.0,35,5250,0.575532,0.7198048,0.46336627,717.8561037307328,0.0,0.0
